H1,H2,H3,H4,H5,ItemCode,WeekStartDate,Sales,Stock,Price,FirstPrice,Discount,DiscountOnPrice,PrevDiscountRate,PrevWeekStock,PrevSales
AYAKKABI,KADIN,COMFORT,TERLIK,EV ICI TERLIK,000000000101206004,2023-11-23,0,98,185.1759,277.7685,0.0000,0.33334449370608978340,0.16667224685304489170,102,3
AYAKKABI,KADIN,COMFORT,TERLIK,EV ICI TERLIK,000000000101206017,2023-11-23,2,128,166.6574,212.9537,0.5365,0.21740077772774081878,0.00000000000000000000,132,4
AYAKKABI,COCUK,NULL,BOT,WORKER BOT,000000000101207884,2023-11-23,18,1117,592.5833,685.1759,0.1456,0.13513697723460501165,0.00000000000000000000,1145,29
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101210403,2023-11-09,3,50,1342.5000,1620.2778,0.1439,0.17143837927051768531,0.00000000000000000000,52,2
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101210420,2023-11-09,27,938,1712.8704,2036.9444,0.2816,0.15909810793068284044,0.00000000000000000000,928,-5
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101253564,2023-11-09,25,135,1203.6944,1481.4722,0.5654,0.18750118969495343889,0.00000000000000000000,132,3
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101260570,2023-11-09,21,238,879.6204,1111.1019,0.5627,0.20833507709778914068,0.00000000000000000000,67,8
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101260598,2023-09-21,2,183,1296.2870,1481.4722,-0.0761,0.12500079312996895926,0.00000000000000000000,320,10
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101260598,2023-11-09,13,130,1018.5093,1481.4722,0.6439,0.31250191532449950799,0.12500079312996895926,147,27
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101265957,2023-11-23,12,839,694.4352,879.6204,0.2786,0.21052854163000312408,0.00000000000000000000,721,18
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101371764,2023-10-26,160,3007,740.7315,925.9167,0.2816,0.20000200882001588264,0.00000000000000000000,3716,82
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101371764,2023-11-23,139,2581,462.9537,925.9167,0.5131,0.50000502205003970660,0.20000200882001588264,2705,138
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101382377,2023-11-23,33,1259,648.1389,833.3241,0.3092,0.22222470224970092669,0.00000000000000000000,1342,69
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101382702,2023-11-23,37,1695,648.1389,787.0278,0.2495,0.17647267351928356280,0.00000000000000000000,1717,62
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,SPORT COMFORT,000000000101382765,2023-10-26,186,2587,601.8426,740.7315,0.2072,0.18750235409186729605,0.00000000000000000000,2538,130
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,SPORT COMFORT,000000000101382768,2023-10-26,123,2950,601.8426,740.7315,0.2461,0.18750235409186729605,0.00000000000000000000,3034,102
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,SPORT COMFORT,000000000101382770,2023-10-26,34,607,601.8426,740.7315,0.2118,0.18750235409186729605,0.00000000000000000000,630,11
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101382823,2023-10-26,63,1061,601.8426,740.7315,0.2272,0.18750235409186729605,0.00000000000000000000,1123,62
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,SPORT COMFORT,000000000101383064,2023-10-26,100,1866,648.1389,787.0278,0.2295,0.17647267351928356280,0.00000000000000000000,1941,66
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101383271,2023-10-26,119,1769,555.5463,694.4352,0.2427,0.20000267843565533545,0.00000000000000000000,1847,83
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101383379,2023-10-26,113,1738,555.5463,648.1389,0.1950,0.14285919268230930130,0.00000000000000000000,1799,67
AYAKKABI,AKTIFSPOR,LEISURE,BOT,SNEAKER HI,000000000101383514,2023-10-26,193,2389,694.4352,787.0278,0.1567,0.11764844901285570853,0.00000000000000000000,2543,169
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101383714,2023-10-26,86,1249,601.8426,740.7315,0.2154,0.18750235409186729605,0.00000000000000000000,1322,78
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101383781,2023-10-26,162,1661,555.5463,694.4352,0.2318,0.20000267843565533545,0.00000000000000000000,1702,89
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101383800,2023-10-12,21,539,462.9537,694.4352,0.3455,0.33333779739275889241,0.00000000000000000000,325,5
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101383800,2023-11-23,13,437,342.5833,694.4352,0.5388,0.50667348083737690717,0.33333779739275889241,461,19
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101383875,2023-10-26,149,1977,555.5463,694.4352,0.2223,0.20000267843565533545,0.00000000000000000000,2065,77
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101383875,2023-11-23,63,1389,370.3611,694.4352,0.5235,0.46667291634986244937,0.20000267843565533545,1504,107
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101383935,2023-11-23,5,306,648.1389,833.3241,0.4756,0.22222470224970092669,0.00000000000000000000,323,6
AYAKKABI,KADIN,CASUAL,AYAKKABI,ATHLETIC,000000000101417996,2023-11-09,81,1023,925.9167,1388.8796,0.3939,0.33333551734794002303,0.20000128160857139813,1053,59
AYAKKABI,ERKEK,CASUAL,AYAKKABI,ATHLETIC,000000000101418139,2023-10-26,116,1580,1037.0278,1388.8796,0.3052,0.25333499030441515593,0.00000000000000000000,1657,77
AYAKKABI,COCUK,NULL,AYAKKABI,OUTDOOR,000000000101418271,2023-10-26,111,1413,601.8426,722.2130,0.2253,0.16666883592513565943,0.00000000000000000000,1505,91
AYAKKABI,COCUK,NULL,AYAKKABI,OUTDOOR,000000000101418271,2023-11-23,39,959,509.2500,722.2130,0.3689,0.29487561148857746953,0.16666883592513565943,1101,118
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101428653,2023-10-05,29,1371,1574.0648,1851.8426,0.2068,0.15000076140380397341,0.00000000000000000000,980,13
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101428698,2023-09-28,5,203,925.9167,1111.1019,0.0274,0.16666806167823131254,0.00000000000000000000,269,10
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101428698,2023-10-26,21,122,740.7315,1111.1019,0.3592,0.33333612335646262508,0.16666806167823131254,141,14
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101428969,2023-09-28,13,91,787.0278,925.9167,0.1655,0.15000150661501191198,0.00000000000000000000,105,3
